header
pink floyd;the wall disc 1;data;Data;ID3G: 254;;in the flesh;the thin ice;another brick in the wall part 1;the happiest days of our lives;another brick in the wall part 2;mother;goodbye blue sky;empty spaces;young lust;one of my turns;dont leave me now;another brick in the wall part 3;goodbye cruel world;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
Carlos Santana;Carlos;data;;;;(Da Le) Yaleo;Love Of My Life;Put You Love Lights On;Smooth;Do You Like The Way?;Maria Maria;Maria;Corazon Espinado;Whishing Is Was;El Parol;Primavera;the calling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11
Frans Bauer;'n ons geluk;data;Other;;2004;'n ONS geluk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
2Pac;Greatest Hits (CD1);data;Rap;YEAR: 1998 ID3G: 15;1998;Keep Ya Head Up;2 Of Amerikaz Most Wanted (Ft. Snoop Dogg);Temptations;God Bless The Dead;Hail Mary;Me Against The World (Ft. Dramacydal);How Do You Want It (Ft. KC & JoJo);So Many Tears;Unconditional Love;Trapped;Life Goes On;Hit 'Em Up (Ft. The Outlawz);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
Ì¤ÃÎ;Ì¤ÃÎ;data;;;;¥È¥é¥Ã¥¯ 1;¥È¥é¥Ã¥¯ 2;¥È¥é¥Ã¥¯ 3;¥È¥é¥Ã¥¯ 4;¥È¥é¥Ã¥¯ 5;¥È¥é¥Ã¥¯ 6;¥È¥é¥Ã¥¯ 7;¥È¥é¥Ã¥¯ 8;¥È¥é¥Ã¥¯ 9;¥È¥é¥Ã¥¯ 10;¥È¥é¥Ã¥¯ 11;¥È¥é¥Ã¥¯ 12;¥È¥é¥Ã¥¯ 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14
¼Ò¸®¿¤;Modern Worship Shema (½¦¸¶);data;CCM (Contemporary Christian Music);ID3G: 38;2002;³ª¸¦ ÇâÇÑ ÁÖÀÇ »ç¶û;ÇÏ´Ã À§¿¡ ÁÖ´Ô ¹Û¿¡;³ªÀÇ ¸ð½À ³ªÀÇ ¼ÒÀ¯;¸ñ¸¶¸¥ ÀÚµé¾Æ;¸¶À½ÀÌ »óÇÑÀÚ¸¦;¸ðµç ´É·Â°ú ¸ðµç ±Ç¼¼;½¦¸¶;ÀºÇý·Î¸¸;º¸¸®¶ó (°íÇü¿ø);ÁÖÀÇ ÀÚºñ°¡ ³»·Á¿Í;º¸ÁÂ¾Õ¿¡;¸¶À½ÀÌ »óÇÑ ÀÚ¸¦ (Cello);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15
Leon Redbone;Up a Lazy River;folk;R&B;;;01 Play Gipsy Play;02 At the Chocolate Bon Bon Ball;03 Lazy River;04 When Dixie Stars Are Playing Peek-A-Boo;05 Mr Jelly Roll Baker;06 Gotta Shake That Thing;07 You're a Heartbreaker;08 Bittersweet Waltz;09 Goodbye Charlie Blues;10 That Old Familiar Blues;11 A Dreamer's Holiday;12 I'm Going Home;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
Ãéþñãïò Ôóáëßêçò;Áí ¹ìïõíá Ðáëéüðáéäï;folk;Folk;;;Ìáæß óïõ êáé óôçí êüëáóç;Áññùóôáßíù;Áí Þìïõíá ðáëéüðáéäï;Ôï êïìÝíï ìïõ ôóéãÜñï;Ìå ÷áëÜåé;ÓõíäåôÞñåò;Óöáßñá;Íá ôçò ðåéò óõãíþìç;Äåí ìå êáôÜëáâåò;ÖïâÜìáé;Ôï ìáýñï ìðïõöÜí;ÑáãéóìÝíï ãõáëß;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17
Alkaline Trio;Goddamnit!;folk;Indie;YEAR: 1998;1998;Cringe;Cop;San Francisco;Nose over Tail;As You Were;Enjoy Your Day;Clavicle;My Little Needle;Southern Rock;Message from Kathlene;Trouble Breathing;Sorry About That;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18
Frans Bauer;Een Ons Geluk;folk;Folk;;2003;Een Ons Geluk;Duizend Rode Rozen;Morgen Schijnt De Zon;Ga Met Je Heupen Draaien;Samen Met Jou Naar Dromenland;Ga Niet Weg;Ik Kan Vandaag De Hele Wereld Aan;Als Het Ja Woord Klinkt;Eiland In De Zon;Jij Bent Mijn Leven;Geheime Liefde;Ik Heb Het Zo Niet Bedoeld;De Liefdestango;Een Trein Naar Niemansland;DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12
James Taylor;Greatest Hits Vol 1;folk;Folk/Rock;;1976;Something In The Way She Moves;Carolina In My Mind;Fire And Rain;Sweet Baby James;Country Road;You've Got A Friend;Don't Let Me Be Lonely Tonight;Walking Man;How Sweet It Is (To Be Loved By You);Mexico;Shower The People;Steamroller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
²ÌÇÙ;ÎçÒ¹³¡;folk;Folk;;;ÐòÄ»;µãÁÁÄÞºìµÆ;ÏãÑÌÃÔÃÉÁËÑÛ¾¦;ÔÙ»îÒ»±é;ÌØ±ðÀ´±ö;ÄãÊÇ×îÀäµÄÇéÈË;Ò»¸öÈËµÄ³ª¸è;ÐÄÉÏÃ»ÓÐÈË;¾À²øÒ»Éú;ÀñÎï;µ±¹Â¶ÀÓöµ½¼ÅÄ¯;12-Ò¹Íâ¾°;Ñ©¸è;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20
Estopa;Destrangis;folk;;;;Vino tinto;Luna lunera;Destrangis in the night;Demonios;Jardín del olvido;El blade;Te vi te vi;Nasío pa la alegría;Vuelvo a las andadas;Ke pasa!?;Partiendo la pana;Mi primera cana;Ojitos rojos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21
Ìóðçèëêè International;Ìóðçèëêè +;folk;Russian Pop;;2003;Ìåëüíèöà feat. È.Íèêîëàåâ;Êîìàðîâî feat. È.Ñêëÿð;Òàãàíêà feat. Ì.Øóôóòèíñêèé;Áàáóøêè_ñòàðóøêè feat. Â.Äîáðûíèí;Òðàâà ó äîìà feat. Çåìëÿíå;Ìãíîâåíèÿ feat. Í.Áàñêîâ;Äîæäè feat. È.Êîðíåëþê;Áóêåò feat. À.Áàðûêèí;22 ïðèòîïà feat. Ñ.Ìèíàåâ;ß ëþáëþ âàñ, äåâî÷êè feat. Ð.Æóêîâ;Hands up feat. Ottawan;Video;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22
Vømmøl Spellmannslag;Vømmøl'n;folk;Folk;YEAR: 1974 ID3G: 80;1974;Vømmølstev;Høvlerivisa;Peder og Hamarforsens brus;Vinterbruden;Martin i svingen;Spæll åt mæ;Vømmøl'n;Gammel Thomas;Tango kapital;Porselenstrand;Jonassen;Ann Magrit;Dæven han ta;Johan Møkkerbakken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
The Greenland Whalefishers;the mainstreet sword;folk;Folk-Rock;;;1. i am roving.;2. peggy lettermore.;3. mary B.;4. the clown.;5. the mainstreet sword.;6. father mclean is a headbanger.;7. the stranger inside of you.;8. 4 season song.;9. a.if.;9. medley,the irish washerwoman,kaliope house,cape breton jigs.;10. uthopia.;11. darkland.;12. corea wet jam.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24
The Greenland Whalefishers;The Mainstreet Sword;folk;Folk-Rock;YEAR: 1996 ID3G: 81;1996;1. I Am Roving;2. Peggy Lettermore.;3. Mary B.;4. The Clown;5. The Mainstreet Sword;6. Father Maclean Is A Headbanger;7. The Stranger Inside Of You;8. 4 Season Song;9. a   If  9. b  Medley The Irish Washerwoman,Kaliope House,Cape Breton Jigs;10. Utophia;11. Darkland;12. Corea Vet Jam;13. Lullaby;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24
Francesco De Gegori;Alice non lo sa;folk;pop;;1973;Alice;1940;Le strade di lei;Suonatori di flauto;Buonanotte fratello;Sono tuo;I musicanti;La casa di Hilde;Il ragazzo;Irene;Marianna al bivio;Saigon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25
